CB NO,RACE,SEX,AGE,STATUTE,STATUTE DESCRIPTION,ARREST DATE,ARREST TIME,ARREST BEAT,STATUTE TAG
18311340,WWH,M,20,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,1-Jan-12,2225,914,Possess <2.5g
18311348,BLK,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,1-Jan-12,2245,1523,Possess <2.5g
18311350,BLK,M,25,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,1-Jan-12,2245,633,Possess <2.5g
18311354,BLK,M,30,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Jan-12,2307,1112,Possess 2.5g-10g
18311388,BLK,M,22,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Jan-12,110,2531,Possess <2.5g
18315274,BLK,M,48,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Jan-12,205,,Possess 2.5g-10g
18311476,BLK,M,23,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Jan-12,1004,1523,Possess <2.5g
18311520,BLK,M,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Jan-12,1151,723,Possess 2.5g-10g
18311522,BLK,M,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Jan-12,1210,1523,Possess <2.5g
18311531,BLK,M,39,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Jan-12,1228,422,Possess 2.5g-10g
18311553,BLK,M,24,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Jan-12,1228,422,Possess 2.5g-10g
18311536,WWH,M,38,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Jan-12,1253,1024,Possess <2.5g
18311612,BLK,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Jan-12,1528,732,Possess <2.5g
18311638,WWH,M,22,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Jan-12,1530,913,Possess <2.5g
18311592,WWH,M,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Jan-12,1530,932,Possess 2.5g-10g
18311610,BLK,M,25,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Jan-12,1535,1511,Possess <2.5g
18311654,BLK,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Jan-12,1640,1522,Possess 2.5g-10g
18311714,BLK,M,47,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Jan-12,1820,523,Possess <2.5g
18311717,BLK,M,22,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Jan-12,1840,832,Possess <2.5g
18311778,BLK,M,21,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Jan-12,2030,1331,Possess <2.5g
18311794,BLK,F,23,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Jan-12,2040,723,Possess 2.5g-10g
18311796,BLK,M,23,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Jan-12,2057,424,Possess 2.5g-10g
18311850,BLK,F,32,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Jan-12,2145,734,Possess 2.5g-10g
18311845,BLK,M,39,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Jan-12,2201,1324,Possess <2.5g
18311869,BLK,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Jan-12,2240,1523,Possess 2.5g-10g
18311866,BLK,M,38,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,2-Jan-12,2257,332,Possess 2.5g-10g
18311915,BLK,M,24,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,2-Jan-12,2349,1133,Possess <2.5g
18312048,WWH,M,30,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,3-Jan-12,930,1032,Possess <2.5g
18312062,BLK,M,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Jan-12,1100,831,Possess 2.5g-10g
18312130,BLK,M,21,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Jan-12,1215,1531,Possess 2.5g-10g
18312102,BLK,M,25,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Jan-12,1230,334,Possess 2.5g-10g
18312164,BLK,F,28,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Jan-12,1250,711,Possess 2.5g-10g
18312183,BLK,M,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Jan-12,1445,921,Possess 2.5g-10g
18312179,BLK,M,25,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Jan-12,1456,933,Possess 2.5g-10g
18312206,WWH,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Jan-12,1530,915,Possess 2.5g-10g
18312220,BLK,M,24,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Jan-12,1551,734,Possess 2.5g-10g
18312265,WWH,M,26,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Jan-12,1645,1022,Possess 2.5g-10g
18312289,BLK,F,24,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Jan-12,1715,512,Possess 2.5g-10g
18312332,BLK,M,26,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Jan-12,1908,523,Possess 2.5g-10g
18312407,BLK,M,28,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,3-Jan-12,1932,1531,Possess <2.5g
18312365,BLK,F,37,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,3-Jan-12,1933,1332,Possess <2.5g
18312358,BLK,M,23,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,3-Jan-12,1935,331,Possess <2.5g
18312403,BLK,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Jan-12,2033,1111,Possess 2.5g-10g
18312410,BLK,M,21,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,3-Jan-12,2050,825,Possess <2.5g
18312469,WHI,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Jan-12,2115,1013,Possess 2.5g-10g
18312463,BLK,F,28,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,3-Jan-12,2140,1532,Possess <2.5g
18312467,BLK,M,20,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,3-Jan-12,2150,2222,Possess <2.5g
18312487,WWH,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Jan-12,2234,911,Possess 2.5g-10g
18312483,BLK,M,24,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,3-Jan-12,2235,634,Possess 2.5g-10g
18312516,BLK,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,3-Jan-12,2305,1522,Possess <2.5g
18312526,BLK,M,24,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,3-Jan-12,2340,714,Possess <2.5g
18312542,BLK,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,3-Jan-12,2355,2531,Possess <2.5g
18312548,BLK,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,3-Jan-12,2355,2531,Possess <2.5g
18312583,BLK,F,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,4-Jan-12,48,2422,Possess 2.5g-10g
18312570,WWH,M,27,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,4-Jan-12,51,2532,Possess <2.5g
18312650,BLK,M,36,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,4-Jan-12,710,2132,Possess 2.5g-10g
18312676,BLK,M,23,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,4-Jan-12,1000,624,Possess 2.5g-10g
18312693,BLK,F,21,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,4-Jan-12,1000,624,Possess 2.5g-10g
18312768,BLK,M,23,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,4-Jan-12,1053,1524,Possess 2.5g-10g
18312708,BLK,M,37,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,4-Jan-12,1108,724,Possess 2.5g-10g
18312829,BLK,M,33,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,4-Jan-12,1200,726,Possess <2.5g
18312756,WWH,M,29,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,4-Jan-12,1230,1712,Possess 2.5g-10g
18312761,BLK,M,36,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,4-Jan-12,1231,424,Possess 2.5g-10g
18312751,BLK,M,44,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,4-Jan-12,1245,713,Possess 2.5g-10g
18312797,BLK,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,4-Jan-12,1400,1821,Possess 2.5g-10g
18312831,BLK,M,22,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,4-Jan-12,1420,1511,Possess <2.5g
18312852,BLK,M,27,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,4-Jan-12,1503,1022,Possess 2.5g-10g
18312867,BLK,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,4-Jan-12,1550,1513,Possess 2.5g-10g
18312902,WWH,M,31,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,4-Jan-12,1735,1712,Possess 2.5g-10g
18312967,BLK,M,28,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,4-Jan-12,1855,921,Possess <2.5g
18313015,BLK,M,22,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,4-Jan-12,2013,423,Possess <2.5g
18313050,WWH,M,23,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,4-Jan-12,2013,1633,Possess <2.5g
18313033,BLK,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,4-Jan-12,2020,2531,Possess <2.5g
18313026,WHI,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,4-Jan-12,2040,2514,Possess 2.5g-10g
18313112,BLK,M,25,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,4-Jan-12,2045,2532,Possess <2.5g
18313039,BLK,M,22,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,4-Jan-12,2050,823,Possess <2.5g
18313074,WWH,M,25,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,4-Jan-12,2125,123,Possess <2.5g
18313087,BLK,M,26,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,4-Jan-12,2150,511,Possess 2.5g-10g
18313161,BLK,M,27,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,4-Jan-12,2231,1531,Possess <2.5g
18313144,BLK,M,37,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,4-Jan-12,2249,421,Possess <2.5g
18313164,BLK,F,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,4-Jan-12,2315,221,Possess 2.5g-10g
18313188,WWH,M,20,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,4-Jan-12,2320,2411,Possess <2.5g
18313173,WWH,M,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,4-Jan-12,2355,1223,Possess <2.5g
18313200,BLK,M,42,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,5-Jan-12,15,513,Possess 2.5g-10g
18313258,BLK,M,22,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,5-Jan-12,300,421,Possess <2.5g
18313361,BLK,M,21,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,5-Jan-12,1045,213,Possess 2.5g-10g
18313390,BLK,M,28,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,5-Jan-12,1209,1211,Possess 2.5g-10g
18313481,BLK,M,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,5-Jan-12,1500,712,Possess 2.5g-10g
18313520,WWH,M,25,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,5-Jan-12,1532,814,Possess <2.5g
18313530,WWH,M,23,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,5-Jan-12,1532,814,Possess 2.5g-10g
18313515,WWH,M,21,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,5-Jan-12,1534,814,Possess <2.5g
18313557,BLK,M,25,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,5-Jan-12,1805,735,Possess <2.5g
18313563,BLK,M,21,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,5-Jan-12,1810,1112,Possess 2.5g-10g
18313621,BLK,M,31,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,5-Jan-12,1915,1821,Possess <2.5g
18313646,BLK,F,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,5-Jan-12,1930,622,Possess <2.5g
18313644,BLK,M,38,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,5-Jan-12,1930,1115,Possess 2.5g-10g
18313623,BLK,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,5-Jan-12,1940,823,Possess 2.5g-10g
18313639,BLK,M,26,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,5-Jan-12,1945,832,Possess <2.5g
18313663,BLK,M,21,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,5-Jan-12,1950,621,Possess 2.5g-10g
18313685,BLK,M,45,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,5-Jan-12,2020,322,Possess <2.5g
18313730,WHI,M,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,5-Jan-12,2121,2031,Possess <2.5g
18313735,BLK,M,35,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,5-Jan-12,2125,2532,Possess <2.5g
18313806,BLK,M,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,5-Jan-12,2130,511,Possess 2.5g-10g
18313711,BLK,M,34,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,5-Jan-12,2135,332,Possess 2.5g-10g
18313807,BLK,M,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,5-Jan-12,2154,2212,Possess 2.5g-10g
18313813,BLK,M,31,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,5-Jan-12,2210,1112,Possess 2.5g-10g
18313787,WHI,M,28,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,5-Jan-12,2215,2522,Possess <2.5g
18313796,WWH,F,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,5-Jan-12,2239,2411,Possess 2.5g-10g
18313799,BLK,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,5-Jan-12,2250,2412,Possess 2.5g-10g
18313835,WWH,M,24,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,5-Jan-12,2305,2413,Possess 2.5g-10g
18313839,WWH,M,32,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,5-Jan-12,2320,2515,Possess 2.5g-10g
18313888,WHI,M,23,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,6-Jan-12,25,1624,Possess <2.5g
18313920,BLK,F,37,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,6-Jan-12,150,2222,Possess <2.5g
18313983,BLK,M,35,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,6-Jan-12,745,1523,Possess 2.5g-10g
18314003,BLK,M,25,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,6-Jan-12,900,2234,Possess <2.5g
18314020,BLK,M,43,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,6-Jan-12,1022,2422,Possess <2.5g
18314114,WWH,F,43,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,6-Jan-12,1130,2512,Possess 2.5g-10g
18314100,BLK,M,30,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,6-Jan-12,1235,421,Possess 2.5g-10g
18314116,BLK,M,23,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,6-Jan-12,1252,522,Possess <2.5g
18314103,BLK,M,32,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,6-Jan-12,1310,1932,Possess 2.5g-10g
18314140,BLK,M,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,6-Jan-12,1400,313,Possess 2.5g-10g
18314144,BLK,M,33,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,6-Jan-12,1430,2311,Possess <2.5g
18314204,BLK,M,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,6-Jan-12,1450,1113,Possess 2.5g-10g
18314161,BLK,M,24,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,6-Jan-12,1455,2112,Possess 2.5g-10g
18314205,WHI,F,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,6-Jan-12,1600,1811,Possess <2.5g
18314227,WWH,M,39,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,6-Jan-12,1720,2522,Possess 2.5g-10g
18314264,BLK,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,6-Jan-12,1845,832,Possess 2.5g-10g
18314302,BLK,M,32,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,6-Jan-12,1940,832,Possess 2.5g-10g
18314315,WWH,M,23,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,6-Jan-12,1940,833,Possess 2.5g-10g
18314391,BLK,M,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,6-Jan-12,1943,1532,Possess <2.5g
18314399,BLK,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,6-Jan-12,1943,1532,Possess 2.5g-10g
18314322,BLK,M,35,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,6-Jan-12,1955,832,Possess 2.5g-10g
18314418,BLK,F,40,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,6-Jan-12,2001,621,Possess 2.5g-10g
18314413,BLK,M,24,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,6-Jan-12,2002,621,Possess 2.5g-10g
18314327,BLK,M,40,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,6-Jan-12,2020,313,Possess 2.5g-10g
18314411,BLK,M,20,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,6-Jan-12,2100,711,Possess <2.5g
18314436,BLK,M,21,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,6-Jan-12,2100,624,Possess 2.5g-10g
18314384,WWH,M,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,6-Jan-12,2120,1814,Possess <2.5g
18314429,WHI,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,6-Jan-12,2150,1723,Possess <2.5g
18314476,WWH,M,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,6-Jan-12,2150,1723,Possess <2.5g
18314454,BLK,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,6-Jan-12,2220,523,Possess 2.5g-10g
18314499,WWH,M,21,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,6-Jan-12,2305,1422,Possess <2.5g
18314516,WWH,M,24,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,6-Jan-12,2330,1623,Possess <2.5g
18314619,BLK,M,30,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,7-Jan-12,138,1522,Possess <2.5g
18314773,BLK,M,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,7-Jan-12,1050,1134,Possess 2.5g-10g
18314787,BLK,M,21,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,7-Jan-12,1124,2222,Possess 2.5g-10g
18314807,BLK,M,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,7-Jan-12,1220,934,Possess 2.5g-10g
18314817,BLK,M,32,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,7-Jan-12,1245,2422,Possess <2.5g
18314845,BLK,M,38,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,7-Jan-12,1259,1135,Possess 2.5g-10g
18314846,BLK,M,24,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,7-Jan-12,1259,1135,Possess 2.5g-10g
18314920,BLK,M,24,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,7-Jan-12,1300,1524,Possess <2.5g
18314844,BLK,F,21,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,7-Jan-12,1300,323,Possess 2.5g-10g
18314832,BLK,M,21,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,7-Jan-12,1315,2311,Possess <2.5g
18314840,WWH,M,27,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,7-Jan-12,1325,2523,Possess 2.5g-10g
18314888,WWH,M,23,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,7-Jan-12,1425,1024,Possess 2.5g-10g
18314895,WWH,M,51,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,7-Jan-12,1425,1024,Possess 2.5g-10g
18314918,BLK,M,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,7-Jan-12,1618,723,Possess 2.5g-10g
18314950,BLK,M,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,7-Jan-12,1633,2221,Possess <2.5g
18315031,WWH,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,7-Jan-12,1805,2525,Possess <2.5g
18315058,WHI,M,38,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,7-Jan-12,1910,1114,Possess <2.5g
